ad_id,ad_name,declining_days
2131,"Workout Nutrition Video",38
2133,"Healthy Nutrition Ad",38
2136,"Fitness Lifestyle Ad",38
2137,"Fitness Nutrition Video",38
2149,"Smartphone Launch Video",38
2151,"Student Smartphone Deal",38
2177,"Organic Grocery Video",38
2182,"Fitness Meditation Ad",38
2191,"Crypto Developer Ad",38
2019,"Designer Fashion Promo",37
2022,"Fashion Sale Video",37
2027,"Startup Platform Promo",37
2029,"Marketing SaaS Banner",37
2035,"Business Productivity Ad",37
2039,"Workout Tracker Ad",37
2040,"Fitness Challenge Promo",37
2044,"Healthy Lifestyle App",37
2054,"Luxury Sale Video",37
2064,"Budget Laptop Picks",37
2067,"Holiday Booking Promo",37
2068,"Cheap Flight Deals",37
2070,"Travel Discount Banner",37
2075,"Premium Watch Video",37
2076,"Designer Watch Promo",37
2085,"Developer Cloud Platform",37
2090,"Startup Growth Video",37
2092,"Mobile Game Ad",37
2093,"Gaming Trailer",37
2099,"Gaming Launch Trailer",37
2104,"Festival Laptop Offer",37
2106,"Tech Festival Promo",37
2123,"Investment Platform Promo",37
2124,"Business Finance Tools",37
2150,"Mobile Innovation Promo",37
2152,"Campus Smartphone Video",37
2155,"Mobile Sale Video",37
2157,"Phone Upgrade Ad",37
2158,"Mobile Upgrade Video",37
2161,"HR Software Ad",37
2162,"HR Platform Video",37
2173,"Family Grocery Ad",37
2178,"Organic Food Promo",37
2185,"Wellness Meditation Ad",37
2193,"Web3 Developer Promo",37
2194,"Crypto Trading Banner",37
2200,"Crypto Exchange Promo",37
2017,"Luxury Fashion Ad",36
2026,"Startup SaaS Video",36
2037,"Fitness App Banner",36
2042,"Smart Fitness Video",36
2045,"Wellness Tracker Video",36
2046,"Health Journey Promo",36
2050,"Monsoon Fashion Picks",36
2081,"Luxury Watch Showcase",36
2084,"Cloud Infrastructure Video",36
2087,"Analytics Dashboard Video",36
2111,"Beauty Routine Video",36
2113,"Luxury Beauty Banner",36
2117,"Wellness Beauty Video",36
2119,"Organic Skincare Banner",36
2140,"Interior Design Video",36
2154,"Smartphone Discount Banner",36
2159,"Smartphone Upgrade Promo",36
2164,"Startup HR Tools",36
2165,"Startup HR Video",36
2166,"Startup Hiring Promo",36
2168,"HR Dashboard Video",36
2169,"Workforce Analytics Promo",36
2001,"Electronics Sale Banner",35
2010,"Coding Laptop Video",35
2011,"Programming Laptop Deal",35
2012,"Developer Hardware Promo",35
2016,"Trending Fashion Picks",35
2021,"Discount Fashion Banner",35
2028,"Founder Productivity Ad",35
2038,"Fitness App Video",35
2041,"Mobile Fitness Tracker",35
2047,"Monsoon Electronics Sale",35
2051,"Rainy Season Fashion",35
2057,"Back to College Video",35
2061,"Programming Laptop Deal",35
2066,"Travel Inspiration Video",35
2079,"Elite Watch Promo",35
2089,"Startup Tech Platform",35
2097,"Campus Gaming Promo",35
2098,"Gaming Deals Banner",35
2108,"Developer Gear Video",35
2109,"Programming Hardware Promo",35
2112,"Beauty Collection Promo",35
2121,"Fintech Platform Ad",35
2132,"Gym Nutrition Promo",35
2141,"Home Decor Promo",35
2145,"Urban Lifestyle Decor",35
2147,"Apartment Decor Promo",35
2148,"Smartphone Launch Ad",35
2170,"Online Grocery Deals",35
2174,"Family Shopping Video",35
2179,"Meditation App Banner",35
2181,"Mindfulness Promo",35
2186,"Calm Mind Video",35
2187,"Stress Relief Promo",35
2006,"Office Laptop Video",34
2014,"Fashion Video Lookbook",34
2015,"Fashion Style Ad",34
2023,"Fashion Discount Promo",34
2030,"Marketing SaaS Video",34
2034,"Business Software Video",34
2063,"Laptop Sale Video",34
2073,"Business Travel Deals",34
2088,"Campaign Insights Promo",34
2094,"Mobile Gaming Promo",34
2096,"Student Gaming Video",34
2114,"Luxury Beauty Video",34
2127,"Marketing Fintech Ad",34
2184,"Relaxation Promo",34
2195,"Crypto Market Video",34
2198,"Crypto Trading Tools",34
2199,"Crypto Market Insights",34
2048,"Rainy Season Sale Video",33
2052,"Monsoon Style Video",33
2062,"Laptop Discount Banner",33
2082,"Premium Watch Offer",33
2115,"Designer Beauty Promo",33
2118,"Natural Beauty Promo",33
2135,"Protein Nutrition Promo",33
2142,"Luxury Decor Ad",33
2156,"Mobile Deals Promo",33
2172,"Grocery Discount Promo",33
2036,"Business Growth Tools",32
2101,"Festival Electronics Ad",32
2110,"Beauty Product Ad",32
2144,"Premium Decor Promo",31
2189,"Crypto Platform Video",31
2007,"Productivity Laptop Banner",30
2138,"Lifestyle Fitness Promo",30
